line_number,record_type,address_line1,company_name,date,fax,first_name,initials,last_name,phone,record_type,status
616,1,,,,,,,,,1,
617,1,1,,,,,,,,1,
618,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
619,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
620,unknown,86243-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
621,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
622,-,,,,,,,,,-,
623,unknown,,PARKER HANNIFIN CORPORATION,BARRY AVEN,ATING CO INC,CO INC,TING,,ATING CO INC,,UE PLA
624,unknown,,O-SEAL DIVISION,2210 BARRY,UE,,E,,UE,,AVENU
625,unknown,,7664 PANASONIC WAY,,,,,,,,
626,unknown,,"SAN DIEGO, CA 92154",WEST LOS A,"S, CA 900641488",900641,", CA",488,"S, CA 900641488",,NGELES
628,unknown,,,,3104780078,31047,,80078,3104780078,,
629,0,,,,,,,,,0,
630,unknown,X     X,NDOR TRUCK,011525125  N,PROX DESTINATION VE,DESTIN,PROX,ATION V,PROX DESTINATION VE,,ET 60
631,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
632,0,,,,,,,,,0,
634,0,"C310001     15.9500    2,552.00",05/30/12 129 -64C0 08,01  160.0 EA,608,,08,,608,0,2006
635,unknown,,,,K-O-SEAL,AL,-O-SE,,K-O-SEAL,,GASK
636,unknown,,,***,REV H      SQR,S,EV H,QR,REV H      SQR,,DWG R
656,unknown,TOTAL    2552.00,,,,,,,,,
657,1,,,,,,,,,1,
658,1,1,,,,,,,,1,
659,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
660,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
661,unknown,86244-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
662,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
663,-,,,,,,,,,-,
664,unknown,,PARKER HANNIFIN CORPORATION,BARRY AVEN,ATING CO INC,CO INC,TING,,ATING CO INC,,UE PLA
665,unknown,,O-SEAL DIVISION,2210 BARRY,UE,,E,,UE,,AVENU
666,unknown,,7664 PANASONIC WAY,,,,,,,,
667,unknown,,"SAN DIEGO, CA 92154",WEST LOS A,"S, CA 900641488",900641,", CA",488,"S, CA 900641488",,NGELES
669,unknown,,,,3104780078,31047,,80078,3104780078,,
670,0,,,,,,,,,0,
671,unknown,X     X,NDOR TRUCK,011525125  N,PROX DESTINATION VE,DESTIN,PROX,ATION V,PROX DESTINATION VE,,ET 60
672,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
673,0,,,,,,,,,0,
675,0,C310001      0.2800       99.68,05/29/12 650 -64C0 08,01  356.0 EA,192-1,,92-1,,192-1,0,9781
676,unknown,,,,K VIII GASK-O-SEAL,GASK-,VIII,O-SEAL,K VIII GASK-O-SEAL,,MARK
677,unknown,,,***,REV D      SQR,S,EV D,QR,REV D      SQR,,DWG R
679,0,C310001      2.7500       88.00,06/01/12 090 -64C0 08,02   32.0 EA,998182A,A,98182,,998182A,0,50-9
680,unknown,,,,HOUSE,,OUSE,,HOUSE,,IN H
681,unknown,,,***,REV C      SQR,S,EV C,QR,REV C      SQR,,DWG R
697,unknown,TOTAL     187.68,,,,,,,,,
698,1,,,,,,,,,1,
699,1,1,,,,,,,,1,
700,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
701,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
702,unknown,86245-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
703,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
704,-,,,,,,,,,-,
705,unknown,,PARKER HANNIFIN CORPORATION,MARKING ME,INC,,INC,,INC,,THODS
706,unknown,,O-SEAL DIVISION,301 S RAYM,VE,,E,,VE,,OND AV
707,unknown,,7664 PANASONIC WAY,,,,,,,,
708,unknown,,"SAN DIEGO, CA 92154","ALHAMBRA,",803CA 900641488,900641,03CA,488,803CA 900641488,,CA 918
710,unknown,,,,6262828823,62628,,28823,6262828823,,
711,0,,,,,,,,,0,
712,unknown,X     X,UTING LETT,054803004  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 20
713,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
714,0,,,,,,,,,0,
716,0,C310001      2.5000      180.00,06/01/12 082 -64C0 08,01   72.0 EA,200532,,00532,,200532,0,50-2
717,unknown,,277-1),,RETAINER (SIM 50-918,ER (SI,ETAIN,M 50-91,RETAINER (SIM 50-918,,AL R
718,unknown,,,***,REV E      SQR,S,EV E,QR,REV E      SQR,,DWG R
738,unknown,TOTAL     180.00,,,,,,,,,
739,1,,,,,,,,,1,
740,1,1,,,,,,,,1,
741,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
742,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
743,unknown,86246-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
744,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
745,-,,,,,,,,,-,
746,unknown,,PARKER HANNIFIN CORPORATION,PENTAGON T,LOGIES,,OGIES,,LOGIES,,ECHNOL
747,unknown,,O-SEAL DIVISION,8201-5 E.,SIDE DRIVE,RIVE,IDE D,,SIDE DRIVE,,RIVERS
748,unknown,,7664 PANASONIC WAY,,,,,,,,
749,unknown,,"SAN DIEGO, CA 92154","AUSTIN, TX",403CA 900641488,900641,03CA,488,403CA 900641488,,78744
751,unknown,,,,5123867250,51238,,67250,5123867250,,
752,0,,,,,,,,,0,
753,unknown,X     X,UTING LETT,064675250  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
754,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
755,0,,,,,,,,,0,
757,0,C310005     29.0000       87.00,05/29/12 122 -64C0 08,01    3.0 EA,061-1,,61-1,,061-1,0,2050
758,unknown,,,,MM GATE VALVE DOOR,E VALV,M GAT,E DOOR,MM GATE VALVE DOOR,,300M
759,SH,,,IPPING INSTR,NS TBD,,S TBD,,NS TBD,SH,UCTION
760,BA,,,TCH # 004400,/ CUREDATE 2Q12,DATE 2,CURE,Q12,/ CUREDATE 2Q12,BA,2614 /
761,unknown,,,***,REV G      SQR,S,EV G,QR,REV G      SQR,,DWG R
779,unknown,TOTAL      87.00,,,,,,,,,
780,1,,,,,,,,,1,
781,1,1,,,,,,,,1,
782,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
783,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
784,unknown,86247-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
785,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
786,-,,,,,,,,,-,
787,unknown,,PARKER HANNIFIN CORPORATION,PENTAGON T,LOGIES,,OGIES,,LOGIES,,ECHNOL
788,unknown,,O-SEAL DIVISION,21031 ALEX,CT.,,CT.,,CT.,,ANDER
789,unknown,,7664 PANASONIC WAY,,,,,,,,
790,unknown,,"SAN DIEGO, CA 92154","HAYWARD, C",453CA 900641488,900641,53CA,488,453CA 900641488,,A 9454
792,unknown,,,,5107232131,51072,,32131,5107232131,,
793,0,,,,,,,,,0,
794,unknown,X     X,NTACT BUYE,064675230  N,PROX             CO,,PROX,C,PROX             CO,,ET 60
795,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
796,0,,,,,,,,,0,
798,0,C310005     47.0000       47.00,05/31/12 700 -64C0 08,01    1.0 EA,110-1,,10-1,,110-1,0,2071
799,unknown,,,,T VALVE DOOR -R AND,E DOOR,VALV,-R AND,T VALVE DOOR -R AND,,SLIT
800,D/,,,S PSO SUNNYV,,,,,,D/,ALE
801,BA,,,TCH # 422370,CUREDATE 2Q12,ATE 2Q,CURED,12,CUREDATE 2Q12,BA,0-1 /
802,unknown,,,***,REV H      SQR,S,EV H,QR,REV H      SQR,,DWG R
820,unknown,TOTAL      47.00,,,,,,,,,
821,1,,,,,,,,,1,
822,1,1,,,,,,,,1,
823,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
824,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
825,unknown,86248-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
826,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
827,-,,,,,,,,,-,
828,unknown,,PARKER HANNIFIN CORPORATION,ALL-NEW ST,G COMPANY,ANY,COMP,,G COMPANY,,AMPING
829,unknown,,O-SEAL DIVISION,10801 LOWE,SA ROAD,D,A ROA,,SA ROAD,,R AZUS
830,unknown,,7664 PANASONIC WAY,,,,,,,,
831,unknown,,"SAN DIEGO, CA 92154","EL MONTE,",734CA 900641488,900641,34CA,488,734CA 900641488,,CA 917
833,unknown,,,,8008777775,80087,,77775,8008777775,,
834,0,,,,,,,,,0,
835,unknown,X     X,UTING LETT,004719920  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
836,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
837,0,,,,,,,,,0,
839,0,C310001      3.5000      864.50,06/08/12 030 -91C0 08,01  247.0 EA,032462-2001,-2001,32462,,032462-2001,0,50-0
841,*M,,,ATERIAL SUPP,BY PARKER CSS*,KER CS,Y PAR,S*,BY PARKER CSS*,*M,LIED B
842,unknown,,,***,REV A      SQR,S,EV A,QR,REV A      SQR,,DWG R
861,unknown,TOTAL     864.50,,,,,,,,,
862,1,,,,,,,,,1,
863,1,1,,,,,,,,1,
864,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
865,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
866,unknown,86249-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
867,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
868,-,,,,,,,,,-,
869,unknown,,PARKER HANNIFIN CORPORATION,BARRY AVEN,ATING CO INC,CO INC,TING,,ATING CO INC,,UE PLA
870,unknown,,O-SEAL DIVISION,2210 BARRY,UE,,E,,UE,,AVENU
871,unknown,,7664 PANASONIC WAY,,,,,,,,
872,unknown,,"SAN DIEGO, CA 92154",WEST LOS A,"S, CA 900641488",900641,", CA",488,"S, CA 900641488",,NGELES
874,unknown,,,,3104780078,31047,,80078,3104780078,,
875,0,,,,,,,,,0,
876,unknown,X     X,NDOR TRUCK,011525125  N,PROX DESTINATION VE,DESTIN,PROX,ATION V,PROX DESTINATION VE,,ET 60
877,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
878,0,,,,,,,,,0,
880,0,C310001      0.3000       99.00,05/29/12 070 -64C0 08,01  330.0 EA,828109-1,-1,28109,,828109-1,0,50-8
882,unknown,,,***,REV P      SQR,S,EV P,QR,REV P      SQR,,DWG R
902,unknown,TOTAL      99.00,,,,,,,,,
903,1,,,,,,,,,1,
904,1,1,,,,,,,,1,
905,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
906,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
907,unknown,86250-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
908,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
909,-,,,,,,,,,-,
910,unknown,,PARKER HANNIFIN CORPORATION,R&D PRECIC,ANUFACTURE INC,TURE I,NUFAC,NC,ANUFACTURE INC,,ION MA
911,unknown,,O-SEAL DIVISION,800 FAULST,OURT,,URT,,OURT,,ICH CO
912,unknown,,7664 PANASONIC WAY,,,,,,,,
913,unknown,,"SAN DIEGO, CA 92154","SAN JOSE,",112CA 900641488,900641,12CA,488,112CA 900641488,,CA 951
915,unknown,,,,4084520882,40845,,20882,4084520882,,
916,0,,,,,,,,,0,
917,unknown,X     X,UTING LETT,068233116  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
918,-,,          ,05/23/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,I
919,0,,,,,,,,,0,
921,0,"C310005    582.6900   41,953.68",07/30/12           1A,01   72.0 EA,205105,,05105,,205105,0,50-2
922,unknown,,105 DWG,,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
923,unknown,,,***,REV B      SQR,S,EV B,QR,REV B      SQR,,DWG R
943,unknown,TOTAL   41953.68,,,,,,,,,
944,1,,,,,,,,,1,
945,1,1,,,,,,,,1,
946,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
947,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
948,unknown,86251-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
949,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
950,-,,,,,,,,,-,
951,unknown,,PARKER HANNIFIN CORPORATION,R&D PRECIC,ANUFACTURE INC,TURE I,NUFAC,NC,ANUFACTURE INC,,ION MA
952,unknown,,O-SEAL DIVISION,800 FAULST,OURT,,URT,,OURT,,ICH CO
953,unknown,,7664 PANASONIC WAY,,,,,,,,
954,unknown,,"SAN DIEGO, CA 92154","SAN JOSE,",112CA 900641488,900641,12CA,488,112CA 900641488,,CA 951
956,unknown,,,,4084520882,40845,,20882,4084520882,,
957,0,,,,,,,,,0,
958,unknown,X     X,UTING LETT,068233116  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
959,-,,          ,05/23/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,I
960,0,,,,,,,,,0,
962,0,"C310005    117.5700    2,821.68",06/20/12           1A,01   24.0 EA,968378,,68378,,968378,0,50-9
963,unknown,"117.5700    2,821.68",378 DWG            06/27/12,24.0,COMPLETE PER 52-968,ETE PE,COMPL,R 52-96,COMPLETE PER 52-968,,MFR
964,unknown,"117.5700    8,465.04",378 DWG            07/30/12,72.0,COMPLETE PER 52-968,ETE PE,COMPL,R 52-96,COMPLETE PER 52-968,,MFR
965,unknown,,,***,REV F      SQR,S,EV F,QR,REV F      SQR,,DWG R
984,unknown,TOTAL   14108.40,,,,,,,,,
985,1,,,,,,,,,1,
986,1,1,,,,,,,,1,
987,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
988,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
989,unknown,86252-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
990,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
991,-,,,,,,,,,-,
992,unknown,,PARKER HANNIFIN CORPORATION,R&D PRECIC,ANUFACTURE INC,TURE I,NUFAC,NC,ANUFACTURE INC,,ION MA
993,unknown,,O-SEAL DIVISION,800 FAULST,OURT,,URT,,OURT,,ICH CO
994,unknown,,7664 PANASONIC WAY,,,,,,,,
995,unknown,,"SAN DIEGO, CA 92154","SAN JOSE,",112CA 900641488,900641,12CA,488,112CA 900641488,,CA 951
997,unknown,,,,4084520882,40845,,20882,4084520882,,
998,0,,,,,,,,,0,
999,unknown,X     X,UTING LETT,068233116  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
1000,-,,          ,05/23/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,I
1001,0,,,,,,,,,0,
1003,0,"C310005    344.5700   13,782.80",07/06/12           1A,01   40.0 EA,207110-1,-1,07110,,207110-1,0,50-2
1004,unknown,"344.5700   41,348.40",1 DWG              07/30/12,120.0,COMP PER 52-207110-,PER 52,COMP,-207110,COMP PER 52-207110-,,MFR
1005,unknown,,,***,REV H      SQR,S,EV H,QR,REV H      SQR,,DWG R
1025,unknown,TOTAL   55131.20,,,,,,,,,
1026,1,,,,,,,,,1,
1027,1,1,,,,,,,,1,
1028,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1029,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1030,unknown,86253-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1031,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1032,-,,,,,,,,,-,
1033,unknown,,PARKER HANNIFIN CORPORATION,PENTAGON T,LOGIES,,OGIES,,LOGIES,,ECHNOL
1034,unknown,,O-SEAL DIVISION,8201-5 E.,SIDE DRIVE,RIVE,IDE D,,SIDE DRIVE,,RIVERS
1035,unknown,,7664 PANASONIC WAY,,,,,,,,
1036,unknown,,"SAN DIEGO, CA 92154","AUSTIN, TX",412CA 900641488,900641,12CA,488,412CA 900641488,,78744
1038,unknown,,,,5123867250,51238,,67250,5123867250,,
1039,0,,,,,,,,,0,
1040,unknown,X     X,UTING LETT,064675250  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
1041,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
1042,0,,,,,,,,,0,
1044,0,C310005     37.1300      742.60,05/25/12 122 -64C0 08,01   20.0 EA,105,,05,,105,0,2051
1045,unknown,,,,MM SLIT VALVE DOOR,T VALV,M SLI,E DOOR,MM SLIT VALVE DOOR,,300M
1046,D/,,,S PSC AUSTIN,,,,,,D/,
1047,*S,,,HIPPING OVER,TO YOU*,U*,TO YO,,TO YOU*,*S,NIGHT
1048,unknown,,,***,REV B      SQR,S,EV B,QR,REV B      SQR,,DWG R
1050,0,C311005    185.6500      185.65,05/25/12           57,02    1.0 EA,EDITE FEE,FEE,DITE,,EDITE FEE,0,EXPE
1051,unknown,,,,C,,,,C,,MISC
1066,unknown,TOTAL     928.25,,,,,,,,,
1067,1,,,,,,,,,1,
1068,1,1,,,,,,,,1,
1069,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1070,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1071,unknown,86254-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1072,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1073,-,,,,,,,,,-,
1074,unknown,,PARKER HANNIFIN CORPORATION,CONARD COR,,,,,,,P
1075,unknown,,O-SEAL DIVISION,101 COMMER,,,,,,,CE
1076,unknown,,7664 PANASONIC WAY,,,,,,,,
1077,unknown,,"SAN DIEGO, CA 92154",GLASTONBUR,06033900641488,900641,06033,488,06033900641488,,"Y, CT"
1079,unknown,,,,8606590591,86065,,90591,8606590591,,
1080,0,,,,,,,,,0,
1081,unknown,X     X,NTACT BUYE,024360205  N,PROX ORIGIN      CO,ORIGIN,PROX,C,PROX ORIGIN      CO,,ET 60
1082,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
1083,0,,,,,,,,,0,
1085,0,"C310001     58.0000    1,160.00",06/01/12 150 -91C0 08,01   20.0 EA,5926-001,01,926-0,,5926-001,0,50-5
1086,unknown,,,,GGED STD COST,TD COS,GED S,T,GGED STD COST,,PLUG
1087,unknown,,,***,REV A      SQR,S,EV A,QR,REV A      SQR,,DWG R
1107,unknown,TOTAL    1160.00,,,,,,,,,
1108,1,,,,,,,,,1,
1109,1,1,,,,,,,,1,
1110,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1111,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1112,unknown,86255-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1113,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1114,-,,,,,,,,,-,
1115,unknown,,PARKER HANNIFIN CORPORATION,EXOVA OCM,,,,,,,
1116,unknown,,O-SEAL DIVISION,3883 E. EA,RIVE,,IVE,,RIVE,,GLE DR
1117,unknown,,7664 PANASONIC WAY,,,,,,,,
1118,unknown,,"SAN DIEGO, CA 92154","ANAHEIM, C",076033900641488,900641,76033,488,076033900641488,,A 9280
1120,unknown,,,,7146303003,71463,,03003,7146303003,,
1121,0,,,,,,,,,0,
1122,unknown,X     X,ST WAY,062021602  N,PROX ORIGIN      BE,ORIGIN,PROX,B,PROX ORIGIN      BE,,ET 60
1123,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
1124,0,,,,,,,,,0,
1126,0,C310001    495.0000      495.00,06/01/12 500 -64C0 08,01    1.0 EA,325-10,,25-10,,325-10,0,2113
1127,unknown,,,,A MEDIUM SCALE SEAL,UM SCA,MEDI,LE SEAL,A MEDIUM SCALE SEAL,,NASA
1128,CB,,,I #: 12EGTA0,SN: 0198,98,N: 01,,SN: 0198,CB,13 / S
1129,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1131,0,C310001    495.0000      495.00,06/01/12 500 -64C0 08,02    1.0 EA,325-10,,25-10,,325-10,0,2113
1132,unknown,,,,A MEDIUM SCALE SEAL,UM SCA,MEDI,LE SEAL,A MEDIUM SCALE SEAL,,NASA
1133,CB,,,I #: 12EGTA0,SN: 0175,75,N: 01,,SN: 0175,CB,13 / S
1134,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1136,0,C310001    495.0000      495.00,06/01/12 500 -64C0 08,03    1.0 EA,325-10,,25-10,,325-10,0,2113
1137,unknown,,,,A MEDIUM SCALE SEAL,UM SCA,MEDI,LE SEAL,A MEDIUM SCALE SEAL,,NASA
1138,CB,,,I #: 12EGTA0,SN: 0186,86,N: 01,,SN: 0186,CB,13 / S
1139,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1148,unknown,TOTAL    1485.00,,,,,,,,,
1149,1,,,,,,,,,1,
1150,1,1,,,,,,,,1,
1151,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1152,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1153,unknown,86256-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1154,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1155,-,,,,,,,,,-,
1156,unknown,,PARKER HANNIFIN CORPORATION,SWISS TECH,ISION INC.,INC.,SION,,ISION INC.,,PRECI
1157,unknown,,O-SEAL DIVISION,690 SOUTH,WATER LOOP,LOOP,ATER,,WATER LOOP,,CLEARW
1158,unknown,,7664 PANASONIC WAY,,,,,,,,
1159,unknown,,"SAN DIEGO, CA 92154",POST FALLS,838543900641488,900641,38543,488,838543900641488,,", ID 8"
1161,unknown,,,,2087734800,20877,,34800,2087734800,,
1162,0,,,,,,,,,0,
1163,unknown,X     X,UTING LETT,078449000  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
1164,-,,          ,05/23/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,O
1165,0,,,,,,,,,0,
1167,0,"C310001      0.6000   10,080.00",07/02/12 010 -91C0 08,0116800.0 EA,858249,,58249,,858249,0,50-8
1169,unknown,,,***,REV C      SQR,S,EV C,QR,REV C      SQR,,DWG R
1189,unknown,TOTAL   10080.00,,,,,,,,,
1190,1,,,,,,,,,1,
1192,1,1,,,,,,,,1,
1193,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1194,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1195,unknown,13006-000      002   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1196,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1197,-,,,,,,,,,-,
1198,unknown,,PARKER HANNIFIN CORPORATION,PARKER HAN,APNV,,APNV,,APNV,,NIFIN
1199,unknown,,O-SEAL DIVISION,INDUSTRIET,N KREKELENBERG,ELENBE,KREK,RG,N KREKELENBERG,,ERREIN
1200,unknown,,7664 PANASONIC WAY,RUPELWEG 9,50,,0,,50,,B-285
1201,unknown,,"SAN DIEGO, CA 92154","BOOM, BELG",B2850,,B2850,,B2850,,"IUM,"
1203,unknown,,,,0113238808,01132,,38808,0113238808,,
1204,0,,,,,,,,,0,
1205,unknown,X     X,ST WAY,990820481  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1206,-,,          ,01/26/12,JM   GARY MCKENN  ,GARY M,JM,CKENN,JM   GARY MCKENN  ,-,I
1207,0,,,,,,,,,0,
1209,0,"C910011      7.9260    2,021.13",05/28/12           1A,01  255.0 EA,903-2,,03-2,,903-2,0,1389
1210,unknown,"7.9260    1,585.20",NAMIC              07/12/12,200.0,"RSEAL, INT, PVDF, DY","INT,","SEAL,","PVDF, D","RSEAL, INT, PVDF, DY",,ENER
1211,"5,",,,"9556 EURO, C",N,,,,N,"5,",AMERON
1212,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1231,unknown,TOTAL    3606.33,,,,,,,,,
1232,1,,,,,,,,,1,
1233,1,1,,,,,,,,1,
1234,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1235,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1236,unknown,13041-000      004   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1237,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1238,-,,,,,,,,,-,
1239,unknown,,PARKER HANNIFIN CORPORATION,MERIDEN MF,,,,,,,G INC
1240,unknown,,O-SEAL DIVISION,230 STATE,T EXT,,EXT,,T EXT,,STREET
1241,unknown,,7664 PANASONIC WAY,P O BOX 69,,,,,,,4
1242,unknown,,"SAN DIEGO, CA 92154","MERIDEN, C",502850,,02850,,502850,,T 0645
1244,unknown,,,,203-237-74,203-2,,37-74,203-237-74,,
1245,0,,,,,,,,,0,
1246,unknown,X     X,ST WAY,056254910  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1247,-,,          ,01/27/12,PH   PAUL HOLLMA  ,PAUL H,PH,OLLMA,PH   PAUL HOLLMA  ,-,I
1248,0,,,,,,,,,0,
1250,0,"C910012     33.8700    1,862.85",05/28/12           1A,01   55.0 EA,09,,9,,09,0,2260
1251,unknown,,,,AINER,,INER,,AINER,,RETA
1252,M,,,ATERIAL CERT,UIRED,,IRED,,UIRED,M,S REQU
1253,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
